feature,class
"[-98.35358     98.3555     -20.49053     18.820034    -2.095781
   2.665037    -7.3115172   -3.5901136   -7.989524    -1.9183744
  -4.731997     0.6237759   -2.5930846   -1.4701573   -3.169344
   0.6580323   -4.818465    -2.221544    -3.8104963    0.23409155
  -3.7027657   -5.138118    -6.873309    -3.2062984   -2.818215
  -1.3133957   -2.4798841    2.6044436    0.11303328  -5.430798
  -8.540662    -2.251303     0.6052976   -1.0366942   -2.5828874
  -1.1335064   -1.8318785    0.3485697   -0.5665407   -1.0786905 ]",classical
"[-4.4955130e+02  1.5149677e+02 -1.2753423e+01  4.4259808e+01
  6.2501945e+00  4.0544987e+00 -1.4762168e+00 -1.6236228e+00
 -2.4865205e+00 -4.2856755e+00 -9.6632986e+00 -1.3531814e+00
  1.3567714e-01  3.7148323e+00  5.2865734e+00  1.2183981e+00
 -2.2903373e+00 -4.1148243e+00 -1.8152444e+00  1.2281773e+00
 -1.9271539e+00 -9.7385044e+00 -6.6710472e+00  7.1573842e-01
  5.3368340e+00  4.9868956e+00  1.9749780e+00  2.4451704e+00
 -1.0583289e+00 -3.1430640e+00 -2.1009061e+00 -3.7093070e+00
 -4.9426064e+00 -4.1518950e+00 -2.1552835e+00 -1.3380088e+00
 -6.2024236e-01  1.7987337e+00  1.2694026e+00 -7.8446298e+00]",classical
"[-2.3027237e+02  1.1915338e+02 -1.0512227e+00  2.8384487e+01
  1.0008780e+01  1.6125822e+01  4.7939453e+00  6.1923790e+00
  9.5159584e-01  5.9151869e+00 -1.1755236e+00  3.5739167e+00
 -2.0996544e+00 -9.0729177e-01 -1.8530504e+00 -6.1340570e-03
 -2.7977016e+00  2.3327787e+00 -1.4417098e+00  2.7387941e+00
  1.3147672e-01  3.2247057e+00  5.0029278e-01  8.5086888e-01
 -2.9656527e+00 -2.2716522e+00 -4.3429108e+00 -2.3929088e+00
 -3.2994654e+00 -1.5259972e+00 -3.1848414e+00 -2.9487531e+00
 -2.2312677e+00  2.6411268e-01 -1.2819134e+00 -5.2018237e-01
 -2.0154047e-01 -1.7399545e-01 -2.1011868e+00 -1.7392911e+00]",classical
"[-1.86657974e+02  8.66490631e+01 -1.57267437e+01  1.47337437e+01
 -2.20775056e+00  6.25517273e+00 -8.92462730e-01  6.55403137e-01
 -6.09404659e+00 -5.22284889e+00 -7.87954426e+00 -1.72554874e+00
 -4.70031261e+00 -2.04742503e+00  1.43547845e+00  2.78572798e+00
  3.31365108e+00  3.11333108e+00 -4.41041946e+00 -5.03386402e+00
  4.51641738e-01  1.23669215e-01 -3.80441606e-01 -1.48068345e+00
 -8.91426802e-01 -1.42708445e+00  6.28416479e-01 -1.08603036e+00
 -2.78930831e+00  6.33996665e-01 -3.77245694e-01 -1.78260112e+00
 -3.10490346e+00 -2.67094803e+00 -2.27511001e+00 -1.48735368e+00
 -3.74734521e+00 -1.29420125e+00 -5.64810216e-01 -4.40950066e-01]",classical
"[-121.83351     149.66736     -42.832016     24.485323     -5.4060426
   10.664615     -2.818438      0.7835228    -6.3980646     4.4740596
   -1.2259257     1.2524997    -1.1988703    -2.4087775    -1.7273984
    1.4172893    -1.3712163     0.9454133    -5.5679536    -1.9344245
   -4.298375     -1.8881466    -3.1609542    -0.3450318    -2.9153278
   -1.5678074    -5.6936593    -7.109437     -3.564311      1.3878733
   -3.143891     -5.7298565    -3.4823532     2.4163103     3.8304238
    1.3298843    -0.79401714   -1.8750216    -5.6713943    -3.8140092 ]",classical
"[-108.06734     127.27673     -44.952744     31.253359      4.3463645
   -4.9418163   -15.889656     14.636189     -7.799102     -1.2097644
    2.8209624    17.278034     -4.0977507     1.6709852     0.6631558
    4.612663     -9.879342     -3.2347622    -3.1057496     1.8729876
   -4.7778196     2.3037071    -2.125822      0.42277613   -4.029426
    8.01184       5.8694882     8.5534315    -0.68748915   -2.1918604
   -5.982299     -2.3810787    -3.7338815     1.4712243    -3.7345195
   -0.88979316   -2.914523      1.8864815    -2.298274     -0.51675045]",classical
"[-4.8396786e+02  1.4416499e+02  1.3792461e+00  8.0707903e+00
  4.9335575e+00 -2.3163371e+00 -2.7404160e+00 -6.8436475e+00
 -1.0154460e+01 -8.0706692e+00 -7.1570220e+00 -1.0555950e+01
 -7.7735629e+00 -2.9480882e+00 -2.6374060e-01  4.2994871e+00
  5.3071318e+00  1.9258168e-01 -4.5470858e+00 -1.8961630e+00
  1.4069607e+00  5.9088793e+00  9.6430159e+00  4.1599193e+00
  1.4017935e+00  8.8944554e-01  3.2508299e+00  4.6528826e+00
  9.1325265e-01  2.0422618e+00  3.9723238e-01 -3.9932501e+00
 -1.4679880e+00  1.6441462e+00 -7.3406470e-01 -2.4788461e+00
 -6.4265532e+00 -3.1208591e+00  2.4613283e+00 -5.7725363e+00]",classical
"[-81.11545    129.04564    -42.44421     33.13707      5.685447
  -6.503762    -2.2667925    7.401878   -18.70608      2.4765916
   3.743418     1.8843731  -10.075478     0.9861845   -3.5743082
  -6.170132    -8.027794     3.7797046   -5.0546417   -0.8755277
  -6.748408    -4.2291822   -0.98709494   3.802681    -1.4245932
   1.7664434   -4.2650437   -1.0420676    3.6624815   -1.9311377
  -8.689543    -8.040658    -4.1242275    3.887427     6.8334627
   3.9158087    1.5162545   -5.223294   -11.32869     -7.2979317 ]",classical
"[-3.6707080e+02  1.1281916e+02 -1.8745602e+01  1.0175582e+01
 -1.6043581e+00  3.7995319e+00  9.2568117e-01  5.0639052e+00
 -5.3709044e+00 -9.5146246e+00 -8.4940939e+00 -1.7862538e+00
  1.2870402e+00 -3.8769355e+00 -2.6494825e+00 -1.0689511e+00
 -1.2830023e+00 -2.5023999e+00 -2.5671673e+00 -4.0735521e+00
 -2.6707962e+00  1.7175322e+00  5.3104320e+00  2.8743706e+00
  6.9017088e-01 -3.8952655e-01  5.5201024e-01 -1.8986290e+00
 -1.7991246e+00  9.1750634e-01  5.0804710e+00  4.0361881e+00
  1.8750098e+00  2.5864146e+00  2.4751925e+00  3.7715750e+00
  2.2685916e+00  2.4830122e-02 -3.2566708e-01 -3.1602376e+00]",classical
"[-3.49948273e+02  1.61857407e+02 -3.36946225e+00  1.41632366e+01
  5.73161411e+00  3.50707698e+00  2.97391915e+00 -7.09165955e+00
 -7.91577101e+00 -3.61182749e-01  2.86490273e+00 -2.47547030e+00
 -6.78211403e+00 -8.82984066e+00 -6.66760921e+00 -4.90437841e+00
  1.08544774e-01  4.25742388e+00  5.08104944e+00  2.60075712e+00
  3.33913952e-01 -6.33430660e-01 -1.30474424e+00 -3.16655612e+00
 -6.01832247e+00  1.16423666e-01  3.81643200e+00 -1.65549982e+00
 -5.89663982e+00 -3.32075238e+00  1.56896043e+00  1.71404350e+00
 -3.77067661e+00 -9.00877190e+00 -4.73938036e+00 -2.44326115e+00
 -4.93917799e+00 -4.54223394e+00 -2.04662919e-01  3.13940907e+00]",classical
"[-1.9722751e+02  1.3738995e+02 -3.4159218e+01  2.5363323e+01
 -5.2644143e+00 -2.7768812e+00 -9.5085497e+00 -7.6133041e+00
 -7.6476250e+00 -5.6677318e+00 -4.3843036e+00 -5.4243531e+00
 -3.5282187e+00 -5.6571836e+00 -1.8996494e+00 -2.8816409e+00
 -3.4791715e+00 -4.0269098e+00 -7.3040318e+00 -4.1910210e+00
 -7.9380274e-01 -3.9107654e+00 -5.1438017e+00 -3.2780876e+00
 -3.7111747e+00 -2.5063128e+00 -2.8200212e+00 -1.4249517e+00
 -3.2625043e+00 -5.7715344e+00 -6.8555087e-02  1.4516760e+00
 -2.3300936e+00 -4.6311178e+00 -3.6912374e+00 -2.4982488e+00
 -1.9488664e+00 -6.0164356e+00 -1.2809972e+00  2.5672967e+00]",classical
"[-166.42174     122.12508     -32.114124     16.680294     -5.400134
   -2.4928677    -9.827045     -4.8984995    -6.967043     -4.5714536
   -6.654089     -5.4923553    -5.371946     -4.96042      -2.7898908
   -3.1823907    -4.077293     -3.5514784    -4.6443357    -1.1656524
   -0.23470217   -3.319316     -4.31726      -3.2669683    -2.4018705
   -1.1539305    -1.8857163    -0.31995922   -0.30355263   -4.2348175
   -4.886433     -1.672221     -1.2215484    -3.522411     -3.6370223
   -2.3852243    -2.3768919    -3.9364154    -3.6635315    -0.7155284 ]",classical
"[-274.3259      148.35321     -20.328934     21.799068      7.9280887
    3.7767048    -2.2288494    -6.0878696    -5.6230106    -6.6903195
   -5.9035316    -4.5922475    -1.5412745    -3.0245388    -4.6955943
   -7.719143     -7.2160583    -5.406607     -5.249051     -5.269738
   -5.5510178   -10.194236     -7.6893888    -4.630563     -3.5400584
   -3.5966873    -3.516729      0.7542653     0.5838059    -7.0657573
   -6.6874547     0.45264578    3.275983     -1.8394008    -4.358361
   -4.379136     -3.796847     -1.4324023     0.59794873   -0.67555636]",classical
"[-3.0544928e+02  1.3593269e+02 -1.1758563e+01  1.8213852e+01
  1.0375582e+01  3.0047126e+00 -5.5933824e+00  1.4134432e-01
 -1.3541280e+00 -1.8684579e+00 -3.2081378e+00 -6.7502146e+00
 -2.6937735e+00 -5.5951653e+00 -4.5273905e+00 -4.7861042e+00
 -5.3624263e+00 -2.6244025e+00 -5.8322330e+00 -6.9237723e+00
 -2.9529638e+00 -2.1503780e+00  6.3271737e-01 -3.6252278e-01
 -9.2435700e-01 -2.8968987e+00 -4.3821259e+00 -5.3406706e+00
 -4.4237027e+00  4.0324143e-01  5.2664113e-01 -1.5596404e+00
 -2.6489825e+00 -4.2066612e+00 -2.6894884e+00 -1.7737957e+00
 -7.2135639e-01 -1.6866378e-01  3.9141795e-01 -1.1901913e+00]",classical
"[-4.6589728e+02  1.8018097e+02  5.6646450e+01  1.1035487e+01
  5.8473201e+00  7.3516011e-01 -3.9715195e+00 -5.8865891e+00
 -8.4595146e+00 -9.7856865e+00 -7.6918125e+00 -3.2519479e+00
 -1.8584505e+00 -4.0099673e+00 -4.1032653e+00 -2.4666233e+00
 -2.3584416e+00 -3.0008152e+00 -3.2297871e+00 -1.7167836e+00
  8.6709321e-01  1.8645650e-01 -2.6080458e+00 -2.4554133e+00
 -5.8492088e-01 -9.1311447e-02 -7.3934436e-01 -1.1235062e+00
  9.3194857e-02  5.7905132e-01 -1.9015262e+00 -4.2345958e+00
 -5.4157743e+00 -6.4509997e+00 -5.6639276e+00 -2.4953654e+00
  1.2043169e+00  3.9430263e+00  4.1086578e+00  2.4641762e+00]",classical
"[-4.9864725e+02  1.4566858e+02  4.6470146e+01  1.5258628e+01
  3.0686219e+00 -8.3228427e-01 -5.2227077e+00 -6.2106781e+00
 -3.8113830e+00  8.9116052e-02  2.7176886e+00  2.2169223e+00
  2.4056239e-01 -4.6490210e-01 -8.7923169e-01  5.8388770e-01
  3.2779336e+00  2.3057542e+00 -2.5643952e+00 -4.8099852e+00
 -2.5057294e+00  9.8049933e-01  2.9148772e+00  4.9918753e-01
 -2.7747414e+00 -9.7352064e-01  2.2889156e+00  7.7157877e-02
 -6.1918826e+00 -8.5111856e+00 -7.6166648e-01  9.5218830e+00
  1.0150678e+01  3.5582743e+00 -5.4448587e-01 -3.2836423e+00
 -5.2098198e+00  2.6479721e-01  4.5854993e+00 -1.1330320e+00]",classical
"[-4.2159470e+02  1.7278944e+02  2.8069185e+01 -2.5672548e+00
 -3.5711489e+00 -4.8697968e+00 -8.8961401e+00 -1.0693691e+01
 -7.6776519e+00 -7.9523697e+00 -7.3217459e+00 -2.7029622e+00
 -9.1081476e-01 -4.2146811e+00 -8.4307795e+00 -8.4061651e+00
 -4.1302342e+00 -4.1095367e-01  8.8177294e-02 -2.6952812e-01
  3.0430264e+00  6.8059082e+00  8.8166285e+00  9.0853586e+00
  6.7246957e+00  4.1957307e+00  2.5698528e+00  1.3309330e+00
  2.5988307e+00  4.5588374e+00  7.5622368e-01 -4.8436508e+00
 -4.0754619e+00  1.5516034e-01  1.4948951e+00  1.0518036e+00
  3.6984339e-01 -1.0533413e+00 -6.0324669e-01 -3.6284584e-01]",classical
"[-4.2913931e+02  1.7510500e+02  3.1898457e+01  4.2883248e+00
  1.0443161e+00 -5.7782183e+00 -9.4843340e+00 -1.1283601e+01
 -1.0578688e+01 -8.6634665e+00 -6.3293443e+00 -1.6777816e+00
  8.2280564e-01 -1.8251844e-01  2.9035458e-02  1.9495828e-01
 -1.8525836e+00 -4.4139447e+00 -4.9667983e+00 -4.6021824e+00
 -4.1229501e+00 -3.5837252e+00 -3.2405508e+00 -1.4025183e+00
  6.9929197e-02  1.1470188e+00  2.7329528e+00  3.8013425e+00
  3.9548349e+00  7.3266315e-01 -2.6978843e+00  7.0904678e-01
  5.8084097e+00  5.3691158e+00  3.8591182e+00  3.1723704e+00
 -3.7367371e-01 -4.4130578e+00 -3.8312240e+00 -1.0499815e+00]",classical
"[-4.1345340e+02  1.4348242e+02  3.1305882e+01  1.4029362e+01
  1.5161098e+00 -2.2952938e+00 -6.4711933e+00 -8.1099958e+00
 -5.9342818e+00 -4.4754477e+00 -2.8047547e+00 -8.2260448e-01
 -1.2224383e+00 -2.3896031e+00 -3.8071184e+00 -3.5182371e+00
 -2.7078304e+00 -2.3876903e+00  6.1112487e-01  2.6541553e+00
  1.3301438e+00 -1.7709132e+00 -2.6860034e+00  3.4996167e-01
  2.9888976e+00  3.6004179e+00  3.7470582e+00  3.8690503e+00
  1.9317813e+00 -4.4495821e+00 -6.1123290e+00 -2.8804865e+00
 -1.8720409e+00 -7.9891992e-01 -8.7550718e-01 -1.6717840e+00
 -8.9878452e-01 -8.0121034e-01  9.6770358e-01  4.8951783e+00]",classical
"[-2.3444064e+02  1.3026003e+02 -3.9531036e+01  1.9348919e+01
 -6.7951365e+00 -5.1349883e+00 -3.7098153e+00 -4.0319524e+00
 -5.0715547e+00 -1.3709053e+00 -7.7486458e+00 -4.3807516e+00
  4.7027829e-01  7.7413893e-01  5.4520550e+00  8.7700491e+00
  7.0452633e+00  2.4262974e+00 -2.2932560e+00 -2.4617362e-01
  5.3097544e+00  1.8459674e+00 -5.4122338e+00 -5.8290968e+00
 -3.1178093e+00 -1.3404521e+00  1.3776323e+00  3.7290001e+00
 -9.8886490e-02  3.9061102e-01  8.8181810e+00  6.8378739e+00
 -1.2314533e+00 -7.3134537e+00 -7.6493530e+00 -3.8468516e+00
  9.7899938e-01  6.0690374e+00  7.7470770e+00  3.2252491e+00]",classical
"[-3.2124756e+02  1.3629433e+02 -2.8282761e+01  3.1008644e+01
  5.7425821e-01  2.3691252e-01  6.5861362e-01 -1.3397088e+00
 -5.8611795e-02 -4.2391247e-01 -6.1761975e+00 -1.4452067e-01
 -4.5497710e-01 -7.2904480e-01  7.4753556e+00  1.0970392e+01
  7.8246856e+00  4.3185148e+00  2.9890995e+00  5.8538322e+00
  4.7949972e+00 -1.3273361e+00 -7.9199009e+00 -7.6469193e+00
 -6.4434967e+00 -2.2029347e+00  3.3794222e+00  3.5038669e+00
  2.5672076e+00  1.3496498e+00  8.0717516e+00  7.3872037e+00
 -1.0968260e+00 -7.6321902e+00 -6.0019031e+00 -1.7362322e+00
  1.5321140e+00  5.0424633e+00  4.9318409e+00  1.9655448e+00]",classical
"[-3.2113919e+02  1.3457178e+02 -1.8240040e+01  2.2185543e+01
  4.2837238e-01 -3.8020205e+00  4.8775455e-01 -1.1469616e+00
 -1.9024941e+00 -1.0495498e-01 -2.7560534e+00  5.8383274e-01
  2.4930167e+00  3.0006459e-01  1.6743901e+00  2.8886981e+00
  2.0871375e+00  1.1659801e+00 -2.3970757e+00 -3.4238703e+00
 -1.8905888e+00 -7.1241850e-01  5.5895799e-01  2.2259462e+00
  1.7230739e-01 -6.6442266e-02  9.7974235e-01  1.0062170e+00
 -1.6728817e+00  1.7498680e+00  8.3511848e+00  6.0352259e+00
 -2.7080445e-02 -1.9714048e+00 -3.1729913e-01 -1.0575516e+00
 -1.7065691e+00  1.7875192e-01  2.5322084e+00 -1.4871953e+00]",classical
"[-2.6971078e+02  1.3643422e+02 -2.5016579e+01  2.6403866e+01
  6.8106735e-01 -5.3720841e+00 -1.1092929e+00 -1.4986668e+00
 -1.7736825e-01 -3.8057554e+00 -9.2966700e+00 -3.1443982e+00
  1.6502775e+00  6.8552780e-01  1.9191817e+00  2.2458494e+00
 -2.1271434e+00 -3.6759648e+00 -1.0782660e+00  3.5382869e+00
  1.7304096e+00 -3.2613397e+00 -4.6648259e+00 -1.9485896e+00
  9.4867307e-01  3.7542439e+00  5.3763070e+00  5.4182634e+00
  1.9259081e+00 -1.1270318e+00  1.1295724e+00  8.8542736e-01
  6.3255900e-01 -2.2713122e+00 -3.7551782e+00 -3.0481534e+00
 -1.1465976e+00  3.4504509e+00  6.1838961e+00  1.4928505e+00]",classical
"[-3.6083868e+02  1.3897086e+02 -1.2927217e+01  3.3778614e+01
  7.5961585e+00 -1.7088121e+00  1.0270189e+00  4.0721283e+00
  3.9389958e+00  9.4157827e-01  5.1664811e-01  4.6864805e+00
  3.3365960e+00 -2.2584341e+00 -1.8506907e+00  2.2213337e+00
  1.7878124e+00 -1.5119549e+00 -3.2532809e+00  4.0008578e+00
  7.3330455e+00  3.2431803e+00 -3.4233066e-01  1.2576294e+00
  1.9330866e+00 -2.5344727e+00 -6.4076465e-01  3.0623906e+00
  2.8210492e+00  6.5924926e+00  1.0976730e+01  3.2891350e+00
 -4.2368155e+00 -2.8347065e+00 -3.4722559e+00 -3.6150758e+00
  1.6600260e-01 -2.9151511e+00 -1.5993329e+00  4.6548553e+00]",classical
"[-3.0685605e+02  1.5284921e+02 -2.7586615e+01  1.6327555e+01
 -3.1488068e+00 -8.9405899e+00 -5.4374771e+00 -9.7724180e+00
 -7.1042967e+00  2.9831234e-01  8.9340913e-01  5.4443207e+00
  8.2120056e+00  4.1961322e+00  2.0435920e+00  3.0225179e+00
 -3.8895756e-01 -2.8096762e+00 -2.9019675e+00  1.3368331e+00
  5.6481423e+00  4.7693200e+00  1.1984333e+00 -1.6709082e+00
 -1.1785020e+00  2.3525009e+00  3.8551977e+00  1.7888083e+00
  1.2826805e-01  4.4287963e+00  6.5597825e+00 -9.6833915e-01
 -5.5606809e+00 -7.0794172e+00 -5.3466134e+00 -2.4069202e+00
 -2.0175400e-01  4.4725862e+00  6.8463192e+00  4.8526840e+00]",classical
"[-2.8974127e+02  1.4390283e+02 -2.7002756e+01  2.4065563e+01
 -1.1469277e+00 -6.3004317e+00 -2.7458789e+00 -3.5241740e+00
 -3.0163455e+00 -3.1469986e+00 -7.2646070e+00 -1.6910166e+00
  3.0758982e+00  2.6833420e+00  2.5256891e+00  4.6121702e+00
  2.3802643e+00 -1.2729076e+00 -3.5536106e+00 -2.8135438e+00
  3.2126882e+00  6.5032392e+00  2.7499089e+00  8.1284893e-01
 -1.1981583e-02 -8.1745219e-01  1.4092880e-01 -3.1504337e-02
  7.6342714e-01  6.9923663e+00  8.3758259e+00 -1.0415759e+00
 -4.1894464e+00 -4.1431866e+00 -4.4990444e+00 -2.4594598e+00
 -1.8741457e+00  7.5556594e-01  1.3767807e+00 -1.0536902e+00]",classical
"[-4.1300116e+02  1.3853171e+02 -1.9246777e+01  3.4156403e+01
  8.9852438e+00 -4.2935634e+00  4.1500463e+00  8.6927933e-01
  3.0812440e+00  1.2008622e-01 -4.0598006e+00  3.7838356e+00
  5.9190679e+00  3.4981360e+00  6.6246977e+00  6.7353868e+00
  2.4673367e+00 -1.8759853e+00 -5.6779522e-02  2.7251770e+00
 -1.3180183e+00 -4.6902108e+00 -3.7544358e+00 -1.9125108e+00
  3.3495059e+00  9.8607397e+00  1.2021218e+01  1.3940089e+01
  6.5366192e+00 -4.5391212e+00 -4.0283155e+00  3.8540428e+00
  5.1094503e+00 -2.2800579e+00 -4.1237969e+00 -4.1147275e+00
 -1.0181841e+00  4.6317468e+00  3.5501332e+00  1.0074140e+00]",classical
"[-2.3874171e+02  1.4972977e+02 -2.8855423e+01  2.8256531e+01
 -8.0010945e-01 -3.9364913e+00 -2.1363714e+00 -4.3255339e+00
 -4.1836200e+00 -3.4381249e+00 -5.7532854e+00 -9.0102427e-02
  2.5456488e+00  6.9135207e-01  5.8995035e-02  1.6971146e+00
  6.5996099e-01  1.4763628e+00 -1.8393985e+00 -6.2603865e+00
 -2.6641529e+00  3.0187213e+00  4.6686654e+00  2.0510211e+00
 -3.4452811e-02  4.3722829e-01 -2.4879727e+00  1.6305638e-02
  3.2346241e+00  3.3113769e-01 -4.1111245e+00  7.2611529e-01
  9.2881384e+00  5.8553157e+00  1.1770135e+00 -2.1917813e+00
 -6.3476224e+00 -3.5947046e+00 -1.4198152e+00 -6.6394401e+00]",classical
"[-4.77943481e+02  1.55320892e+02  1.27602215e+01  5.53144264e+00
  2.38413167e+00 -1.06522732e+01 -1.66513519e+01 -1.25466223e+01
 -1.11871109e+01 -9.37471390e+00 -3.21561265e+00 -2.76929021e+00
 -6.47784185e+00 -8.30953884e+00 -7.09762144e+00 -7.47387695e+00
 -5.32536411e+00  1.26185334e+00  1.88180041e+00 -1.64831305e+00
  6.33285940e-01  6.76653957e+00  6.43458557e+00  1.72557271e+00
  3.44042301e-01  3.40658307e-01 -8.73440206e-01 -3.25945401e+00
 -3.06011748e+00 -1.63010752e+00 -1.44910580e-02  3.75128698e+00
  4.77626896e+00  5.56811237e+00  5.60609150e+00  7.69357383e-02
 -2.60005021e+00 -1.15494281e-01  1.87387526e+00 -5.03863215e-01]",classical
"[-5.52158630e+02  1.73316360e+02  2.63477325e+01  1.41246195e+01
  7.26014042e+00 -7.08026409e+00 -5.85433340e+00 -1.03372850e+01
 -1.10186148e+01 -9.19959450e+00 -8.82593155e+00 -4.93078613e+00
 -3.65395784e+00 -4.27968359e+00 -3.46035266e+00 -4.82228804e+00
 -5.67703152e+00 -6.54083586e+00 -8.19967079e+00 -6.44519615e+00
 -3.12603617e+00  3.85387450e-01  1.49116313e+00  2.17952341e-01
 -1.78220236e+00 -4.38836670e+00 -2.80320001e+00 -5.55557072e-01
 -1.56180382e+00 -2.44198847e+00 -1.11513019e+00  2.56283069e+00
  3.86769056e+00  4.03995657e+00  4.45452738e+00  8.58646750e-01
 -1.89632213e+00 -2.74702239e+00 -4.96677017e+00 -5.61524057e+00]",classical
"[-4.3760440e+02  1.7093153e+02  7.4195805e+00 -3.0834730e+00
  7.8938216e-01 -1.1128749e+01 -1.2522780e+01 -6.9078360e+00
 -5.8587022e+00 -8.4612370e+00 -8.4814873e+00 -8.3393879e+00
 -7.3785748e+00 -6.7325692e+00 -6.0865922e+00 -7.0612326e+00
 -6.6553288e+00 -4.2900767e+00 -4.3928785e+00 -4.9066052e+00
 -1.6753454e+00  4.8718772e+00  6.6919522e+00  3.6867316e+00
 -1.4524109e+00 -3.9123032e+00 -1.8777807e+00 -4.5862642e-01
  2.8073509e+00  5.4801755e+00  2.0399537e+00 -2.1460301e-01
  2.7436969e-01  2.0481794e+00  3.0874701e+00  8.1467819e-01
 -5.5650836e-01 -1.9729948e+00 -3.4011738e+00 -9.8427069e-01]",classical
"[-5.4956970e+02  1.5696530e+02  6.6312461e+00  3.4402447e+01
  1.3249272e+01  5.7482772e+00  5.0407815e+00 -3.0072958e+00
  2.0624194e+00  3.0736666e+00  2.0175800e+00  3.2438076e+00
  5.6670165e+00  5.7033176e+00  3.6362784e+00  4.1026506e+00
  4.3394637e+00  3.3675346e+00  2.6253273e+00  1.6544265e+00
  6.7788512e-01  3.8972086e-01  3.6853868e-01  4.5096511e-01
  4.0150180e-02 -1.0277587e+00 -1.3358684e+00 -8.6475062e-01
 -6.6855276e-01 -1.5100929e+00 -2.0471115e+00 -4.8373359e-01
 -2.6359242e-01 -4.0441895e-01 -2.1911103e-01  6.8659914e-01
 -2.4711913e-01 -8.4914112e-01 -1.5318033e+00 -2.4098651e+00]",classical
"[-3.7465198e+02  1.5382292e+02 -2.1559772e+01  2.0833046e+01
  7.0026722e+00 -3.9453752e+00 -2.5165148e+00 -2.8052349e+00
 -4.2927785e+00 -4.5061345e+00 -5.7571154e+00 -4.2597899e+00
 -3.8456016e+00 -4.5916386e+00 -3.6367891e+00 -2.2832582e+00
 -3.1167452e+00 -2.0936796e-01  2.6291046e+00  1.8155842e+00
  2.7857068e+00  1.9682196e+00  3.0602016e+00  7.9216456e-01
  3.6634126e+00  1.9362276e+00 -1.0596572e+00 -3.5763478e+00
 -2.3864033e+00  1.5407647e+00  1.5625603e-01 -3.1544125e+00
 -4.3170948e+00 -1.2175293e+00 -7.0141590e-01  3.2455358e-01
 -4.7911191e-01 -3.3178687e+00 -4.9257288e+00 -3.1374547e+00]",classical
"[-2.6399594e+02  1.4211691e+02 -5.1378956e+01  5.0166855e+00
 -2.0275646e+01 -1.7129780e+01 -1.6075098e+01 -2.0311262e+01
 -1.5041228e+01 -9.7376528e+00 -8.4088335e+00 -1.1790934e+01
 -6.8859301e+00 -4.6030884e+00 -2.0434783e+00 -2.3732021e+00
  9.6612155e-01  3.0088854e+00  1.3610226e+00  5.5366035e+00
  9.4119269e-01  1.0098855e+00  3.0446827e+00  1.7719779e+00
  2.1190732e+00  2.0836581e-01 -4.9208951e-01 -2.9609761e-01
  1.4642460e+00  3.4823928e+00  1.8384645e+00  2.0036242e+00
  1.5749012e+00  2.6186738e+00  3.1185946e+00  3.4308994e+00
  7.3074347e-01  1.0461121e+00  4.6150339e-01  2.9898639e+00]",classical
"[-3.3883044e+02  1.9014246e+02 -1.6293915e+01  3.7036424e+00
 -4.4072857e-01 -8.8904343e+00 -1.0388580e+01 -1.6360968e+01
 -1.3284851e+01 -1.0792324e+01 -8.6432447e+00 -8.2795839e+00
 -4.6242008e+00 -3.7992187e+00 -4.5522614e+00 -3.6663947e+00
 -9.4483525e-01  5.3679180e-01 -2.6054767e-01 -1.5557868e+00
 -1.6194718e+00 -5.1426716e+00 -5.4793553e+00 -2.8035541e+00
 -2.3779464e+00 -3.7808094e-02  2.8450317e+00  1.4394658e+00
 -3.7457447e+00 -3.6156592e+00  5.0748796e+00  1.0002105e+01
  1.0310410e+00 -8.1937933e+00 -5.4097662e+00 -2.3648877e+00
 -2.8074741e+00  2.2946036e+00  9.5648594e+00  5.9463010e+00]",classical
"[-3.68996124e+02  1.71873688e+02 -2.72930622e+01  6.00498724e+00
 -1.64095730e-01 -1.06742029e+01 -1.19248295e+01 -1.01944418e+01
 -1.13685684e+01 -1.05072908e+01 -8.37531281e+00 -9.78917122e+00
 -5.05868244e+00 -5.08146143e+00 -3.03916645e+00 -1.73287356e+00
 -1.85326374e+00 -2.26386714e+00 -1.27987111e+00 -4.38398004e-01
 -3.07888031e+00 -5.19773102e+00 -4.67066288e+00 -1.35048926e+00
  1.56894237e-01 -2.63469911e+00 -3.80683708e+00  6.23111904e-01
  5.39595699e+00  4.20977879e+00 -1.08794861e-01 -8.96449447e-01
  2.35749817e+00  4.36042690e+00  5.05979681e+00  3.78868747e+00
  2.31982160e+00  3.70978802e-01 -5.79574680e+00 -5.97321367e+00]",classical
"[-2.4615865e+02  1.4942867e+02 -4.1988865e+01  1.1606256e+01
 -1.0289647e+01 -4.0193577e+00 -7.1368546e+00 -1.0135562e+01
 -9.4203224e+00 -7.1718431e+00 -3.1583674e+00 -5.6406569e+00
 -2.5862961e+00 -4.5179677e+00 -6.1586704e+00 -4.9699883e+00
 -3.3515992e+00 -3.3474395e+00 -6.7422456e-01  2.2038992e-01
 -2.9232726e+00 -3.3827536e+00 -2.2537276e-01  1.1250568e-01
 -1.6673242e+00 -2.0816813e+00 -1.5239823e+00 -2.5308514e+00
 -9.4909102e-01  2.5767777e+00  5.5336547e-01  7.8471887e-01
  8.3636874e-01  1.4402956e-01 -5.7237053e-01 -1.2296576e+00
 -5.3203517e-01 -3.9827266e-01 -2.2767420e+00 -1.1254358e+00]",classical
